G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
64,2024-03-08,,,Box Score,,Atlanta Hawks,L,,92,99,22,42,S. Aldama · J. Goodwin · J. Jackson · J. Konchar · V. Williams
65,2024-03-10,,,Box Score,@,Oklahoma City Thunder,L,,93,124,22,43,S. Aldama · G. Jackson · J. Jackson · L. Kennard · J. LaRavia
66,2024-03-12,,,Box Score,,Washington Wizards,W,,109,97,23,43,S. Aldama · J. Goodwin · T. Jemison · L. Kennard · J. Konchar
67,2024-03-13,,,Box Score,,Charlotte Hornets,L,,98,110,23,44,G. Jackson · T. Jemison · L. Kennard · J. Konchar · S. Pippen
68,2024-03-16,,,Box Score,,Oklahoma City Thunder,L,,112,118,23,45,S. Aldama · D. Bane · G. Jackson · J. Jackson · L. Kennard
69,2024-03-18,,,Box Score,@,Sacramento Kings,L,OT,111,121,23,46,S. Aldama · D. Bane · G. Jackson · J. Jackson · J. Konchar
70,2024-03-20,,,Box Score,@,Golden State Warriors,L,,116,137,23,47,S. Aldama · D. Bane · G. Jackson · J. Jackson · J. Konchar
71,2024-03-22,,,Box Score,@,San Antonio Spurs,W,,99,97,24,47,S. Aldama · J. Goodwin · G. Jackson · J. Jackson · J. Konchar
72,2024-03-25,,,Box Score,@,Denver Nuggets,L,,103,128,24,48,S. Aldama · D. Bane · G. Jackson · J. Jackson · S. Pippen
73,2024-03-27,,,Box Score,,Los Angeles Lakers,L,,124,136,24,49,S. Aldama · D. Bane · G. Jackson · J. Jackson · S. Pippen
74,2024-03-30,,,Box Score,@,Orlando Magic,L,,88,118,24,50,G. Jackson · J. Jackson · L. Kennard · J. LaRavia · S. Pippen
75,2024-04-01,,,Box Score,@,Detroit Pistons,W,,110,108,25,50,S. Aldama · G. Jackson · J. Jackson · L. Kennard · S. Pippen
76,2024-04-03,,,Box Score,@,Milwaukee Bucks,W,,111,101,26,50,G. Jackson · J. Jackson · T. Jemison · L. Kennard · S. Pippen
77,2024-04-05,,,Box Score,,Detroit Pistons,W,,108,90,27,50,J. Goodwin · G. Jackson · T. Jemison · J. LaRavia · S. Pippen
78,2024-04-06,,,Box Score,,Philadelphia 76ers,L,,96,116,27,51,J. Goodwin · G. Jackson · T. Jemison · M. Pereira · S. Pippen
79,2024-04-09,,,Box Score,,San Antonio Spurs,L,,87,102,27,52,B. Clarke · J. Goodwin · G. Jackson · T. Jemison · S. Pippen
80,2024-04-10,,,Box Score,@,Cleveland Cavaliers,L,,98,110,27,53,G. Jackson · T. Jemison · J. LaRavia · S. Pippen  · L. Stevens
81,2024-04-12,,,Box Score,,Los Angeles Lakers,L,,120,123,27,54,J. Goodwin · G. Jackson · T. Jemison · J. LaRavia · S. Pippen
82,2024-04-14,,,Box Score,,Denver Nuggets,L,,111,126,27,55,J. Goodwin · G. Jackson · T. Jemison · J. LaRavia · S. Pippen
