G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
57,2024-02-23,,,Box Score,@,Minnesota Timberwolves,W,,112,107,36,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
58,2024-02-25,,,Box Score,@,Philadelphia 76ers,W,,119,98,37,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
59,2024-02-27,,,Box Score,,Charlotte Hornets,W,,123,85,38,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
60,2024-02-29,,,Box Score,@,Charlotte Hornets,W,,111,99,39,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
61,2024-03-01,,,Box Score,@,Chicago Bulls,W,,113,97,40,21,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
62,2024-03-04,,,Box Score,,Los Angeles Clippers,W,,113,106,41,21,M. Beasley · P. Beverley · J. Crowder · D. Lillard · B. Lopez
63,2024-03-06,,,Box Score,@,Golden State Warriors,L,,90,125,41,22,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
64,2024-03-08,,,Box Score,@,Los Angeles Lakers,L,,122,123,41,23,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
65,2024-03-10,,,Box Score,@,Los Angeles Clippers,W,,124,117,42,23,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
66,2024-03-12,,,Box Score,@,Sacramento Kings,L,,94,129,42,24,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
67,2024-03-14,,,Box Score,,Philadelphia 76ers,W,,114,105,43,24,G. Antetokounmpo · P. Beverley · J. Crowder · D. Lillard · B. Lopez
68,2024-03-17,,,Box Score,,Phoenix Suns,W,,140,129,44,24,M. Beasley · J. Crowder · D. Lillard · B. Lopez · K. Middleton
69,2024-03-20,,,Box Score,@,Boston Celtics,L,,119,122,44,25,M. Beasley · J. Crowder · D. Lillard · B. Lopez · K. Middleton
70,2024-03-21,,,Box Score,,Brooklyn Nets,W,,115,108,45,25,G. Antetokounmpo · M. Beasley · J. Crowder · D. Lillard · B. Lopez
71,2024-03-24,,,Box Score,,Oklahoma City Thunder,W,,118,93,46,25,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
72,2024-03-26,,,Box Score,,Los Angeles Lakers,L,2OT,124,128,46,26,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
73,2024-03-28,,,Box Score,@,New Orleans Pelicans,L,,100,107,46,27,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
74,2024-03-30,,,Box Score,@,Atlanta Hawks,W,,122,113,47,27,G. Antetokounmpo · M. Beasley · P. Beverley · B. Lopez · K. Middleton
75,2024-04-02,,,Box Score,@,Washington Wizards,L,,113,117,47,28,G. Antetokounmpo · M. Beasley · P. Beverley · B. Lopez · K. Middleton
76,2024-04-03,,,Box Score,,Memphis Grizzlies,L,,101,111,47,29,G. Antetokounmpo · M. Beasley · P. Connaughton · J. Crowder · B. Lopez
77,2024-04-05,,,Box Score,,Toronto Raptors,L,,111,117,47,30,M. Beasley · J. Crowder · D. Lillard · B. Lopez · K. Middleton
78,2024-04-07,,,Box Score,,New York Knicks,L,,109,122,47,31,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
79,2024-04-09,,,Box Score,,Boston Celtics,W,,104,91,48,31,G. Antetokounmpo · P. Beverley · D. Lillard · B. Lopez · K. Middleton
80,2024-04-10,,,Box Score,,Orlando Magic,W,,117,99,49,31,M. Beasley · P. Beverley · D. Lillard · B. Lopez · B. Portis
81,2024-04-12,,,Box Score,@,Oklahoma City Thunder,L,,107,125,49,32,M. Beasley · P. Beverley · B. Lopez · K. Middleton · B. Portis
82,2024-04-14,,,Box Score,@,Orlando Magic,L,,88,113,49,33,P. Beverley · D. Lillard · B. Lopez · K. Middleton · B. Portis
