G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
71,2024-03-23,,,Box Score,@,New York Knicks,L,,93,105,26,45,M. Bridges · N. Claxton · C. Johnson · D. Schröder · C. Thomas
72,2024-03-25,,,Box Score,@,Toronto Raptors,W,,96,88,27,45,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · J. Wilson
73,2024-03-27,,,Box Score,@,Washington Wizards,W,OT,122,119,28,45,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
74,2024-03-29,,,Box Score,,Chicago Bulls,W,,125,108,29,45,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
75,2024-03-31,,,Box Score,,Los Angeles Lakers,L,,104,116,29,46,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
76,2024-04-01,,,Box Score,@,Indiana Pacers,L,,111,133,29,47,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
77,2024-04-03,,,Box Score,,Indiana Pacers,W,,115,111,30,47,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
78,2024-04-06,,,Box Score,,Detroit Pistons,W,,113,103,31,47,M. Bridges · N. Claxton · D. Finney-Smith · D. Schröder · C. Thomas
79,2024-04-07,,,Box Score,,Sacramento Kings,L,,77,107,31,48,M. Bridges · N. Clowney · D. Schröder · C. Thomas · J. Wilson
80,2024-04-10,,,Box Score,,Toronto Raptors,W,,106,102,32,48,M. Bridges · N. Claxton · N. Clowney · D. Schröder · C. Thomas
81,2024-04-12,,,Box Score,@,New York Knicks,L,,107,111,32,49,M. Bridges · N. Claxton · N. Clowney · C. Thomas · T. Watford
82,2024-04-14,,,Box Score,@,Philadelphia 76ers,L,,86,107,32,50,M. Bridges · N. Claxton · N. Clowney · C. Thomas · T. Watford
