Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Jan 21 2021,10:00p,New York Knicks,119,Golden State Warriors,104,Box Score,,0,2:24,Chase Center,
Thu Jan 21 2021,10:00p,New Orleans Pelicans,118,Utah Jazz,129,Box Score,,1932,2:26,Vivint Smart Home Arena,
Fri Jan 22 2021,7:00p,Chicago Bulls,123,Charlotte Hornets,110,Box Score,,0,2:07,Spectrum Center,
Fri Jan 22 2021,7:00p,Houston Rockets,103,Detroit Pistons,102,Box Score,,0,2:18,Little Caesars Arena,
Fri Jan 22 2021,7:00p,Orlando Magic,118,Indiana Pacers,120,Box Score,OT,0,2:28,Bankers Life Fieldhouse,
Fri Jan 22 2021,7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,Box Score,,1944,2:10,Rocket Mortgage Fieldhouse,
Fri Jan 22 2021,7:30p,Boston Celtics,110,Philadelphia 76ers,122,Box Score,,0,2:18,Wells Fargo Center,
Fri Jan 22 2021,7:30p,Miami Heat,81,Toronto Raptors,101,Box Score,,0,2:01,Amalie Arena,
Fri Jan 22 2021,8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,Box Score,,0,2:02,Target Center,
Fri Jan 22 2021,8:30p,Dallas Mavericks,122,San Antonio Spurs,117,Box Score,,0,2:13,AT&T Center,
Fri Jan 22 2021,10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,Box Score,,0,2:05,STAPLES Center,
Fri Jan 22 2021,10:00p,Denver Nuggets,130,Phoenix Suns,126,Box Score,OT,0,2:24,Phoenix Suns Arena,
Fri Jan 22 2021,10:00p,New York Knicks,94,Sacramento Kings,103,Box Score,,0,2:23,Golden 1 Center,
Sat Jan 23 2021,8:00p,Miami Heat,124,Brooklyn Nets,128,Box Score,,0,2:25,Barclays Center,
Sat Jan 23 2021,8:00p,Philadelphia 76ers,114,Detroit Pistons,110,Box Score,,0,2:20,Little Caesars Arena,
Sat Jan 23 2021,8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,Box Score,,0,2:21,Target Center,
Sat Jan 23 2021,9:00p,Los Angeles Lakers,101,Chicago Bulls,90,Box Score,,0,2:18,United Center,
Sat Jan 23 2021,9:00p,Houston Rockets,133,Dallas Mavericks,108,Box Score,,0,2:14,American Airlines Center,
Sat Jan 23 2021,9:00p,Denver Nuggets,120,Phoenix Suns,112,Box Score,2OT,0,2:47,Phoenix Suns Arena,
Sat Jan 23 2021,9:00p,Golden State Warriors,108,Utah Jazz,127,Box Score,,1932,2:05,Vivint Smart Home Arena,
Sun Jan 24 2021,1:00p,Toronto Raptors,107,Indiana Pacers,102,Box Score,,0,2:18,Bankers Life Fieldhouse,
Sun Jan 24 2021,4:00p,Oklahoma City Thunder,100,Los Angeles Clippers,108,Box Score,,0,2:03,STAPLES Center,
Sun Jan 24 2021,7:00p,Cleveland Cavaliers,103,Boston Celtics,141,Box Score,,0,2:09,TD Garden,
