Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Mar 19 2021,10:00p,Dallas Mavericks,119,Portland Trail Blazers,125,Box Score,,0,2:07,Moda Center,
Sat Mar 20 2021,3:30p,Atlanta Hawks,99,Los Angeles Lakers,94,Box Score,,0,2:09,STAPLES Center,
Sat Mar 20 2021,8:00p,Golden State Warriors,103,Memphis Grizzlies,111,Box Score,,0,2:17,FedEx Forum,
Sat Mar 20 2021,8:00p,Sacramento Kings,105,Philadelphia 76ers,129,Box Score,,3071,2:10,Wells Fargo Center,
Sat Mar 20 2021,9:00p,San Antonio Spurs,113,Milwaukee Bucks,120,Box Score,,3280,2:05,Fiserv Forum,
Sat Mar 20 2021,10:00p,Charlotte Hornets,98,Los Angeles Clippers,125,Box Score,,0,2:10,STAPLES Center,
Sun Mar 21 2021,1:00p,Indiana Pacers,109,Miami Heat,106,Box Score,OT,0,2:27,AmericanAirlines Arena,
Sun Mar 21 2021,2:00p,Oklahoma City Thunder,114,Houston Rockets,112,Box Score,,3297,2:13,Toyota Center,
Sun Mar 21 2021,3:00p,New Orleans Pelicans,113,Denver Nuggets,108,Box Score,,0,2:12,Ball Arena,
Sun Mar 21 2021,3:30p,Orlando Magic,96,Boston Celtics,112,Box Score,,0,2:03,TD Garden,
Sun Mar 21 2021,7:00p,Washington Wizards,106,Brooklyn Nets,113,Box Score,,1773,2:10,Barclays Center,
Sun Mar 21 2021,7:00p,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,0,2:16,Rocket Mortgage Fieldhouse,
Sun Mar 21 2021,7:00p,Chicago Bulls,100,Detroit Pistons,86,Box Score,,750,2:07,Little Caesars Arena,
Sun Mar 21 2021,8:00p,Philadelphia 76ers,101,New York Knicks,100,Box Score,OT,1981,2:48,Madison Square Garden (IV),
Sun Mar 21 2021,10:00p,Los Angeles Lakers,94,Phoenix Suns,111,Box Score,,3190,2:14,Phoenix Suns Arena,
Sun Mar 21 2021,10:00p,Dallas Mavericks,132,Portland Trail Blazers,92,Box Score,,0,2:04,Moda Center,
Mon Mar 22 2021,7:30p,Sacramento Kings,119,Cleveland Cavaliers,105,Box Score,,4100,2:00,Rocket Mortgage Fieldhouse,
Mon Mar 22 2021,8:00p,Oklahoma City Thunder,112,Minnesota Timberwolves,103,Box Score,,0,2:06,Target Center,
Mon Mar 22 2021,8:30p,Charlotte Hornets,100,San Antonio Spurs,97,Box Score,,3222,2:26,AT&T Center,
Mon Mar 22 2021,9:00p,Utah Jazz,120,Chicago Bulls,95,Box Score,,0,2:04,United Center,
Mon Mar 22 2021,9:00p,Toronto Raptors,99,Houston Rockets,117,Box Score,,2965,2:11,Toyota Center,
Mon Mar 22 2021,9:00p,Boston Celtics,126,Memphis Grizzlies,132,Box Score,OT,2319,2:18,FedEx Forum,
Mon Mar 22 2021,9:00p,Indiana Pacers,113,Milwaukee Bucks,140,Box Score,,3280,2:09,Fiserv Forum,
Mon Mar 22 2021,10:00p,Atlanta Hawks,110,Los Angeles Clippers,119,Box Score,,0,2:06,STAPLES Center,
Tue Mar 23 2021,7:00p,Denver Nuggets,110,Orlando Magic,99,Box Score,,3485,1:56,Amway Center,
Tue Mar 23 2021,7:30p,Los Angeles Lakers,111,New Orleans Pelicans,128,Box Score,,3700,2:29,Smoothie King Center,
Tue Mar 23 2021,7:30p,Washington Wizards,113,New York Knicks,131,Box Score,,1589,2:13,Madison Square Garden (IV),
Tue Mar 23 2021,8:00p,Phoenix Suns,110,Miami Heat,100,Box Score,,0,2:02,AmericanAirlines Arena,
Tue Mar 23 2021,10:00p,Philadelphia 76ers,108,Golden State Warriors,98,Box Score,,0,2:28,Chase Center,
Tue Mar 23 2021,10:00p,Brooklyn Nets,116,Portland Trail Blazers,112,Box Score,,,2:18,Moda Center,
Wed Mar 24 2021,7:00p,Detroit Pistons,111,Indiana Pacers,116,Box Score,,0,2:18,Bankers Life Fieldhouse,
Wed Mar 24 2021,7:30p,Boston Celtics,119,Milwaukee Bucks,121,Box Score,,3280,2:16,Fiserv Forum,
Wed Mar 24 2021,7:30p,Denver Nuggets,111,Toronto Raptors,135,Box Score,,1578,2:08,Amalie Arena,
Wed Mar 24 2021,8:00p,Cleveland Cavaliers,103,Chicago Bulls,94,Box Score,,0,1:58,United Center,
Wed Mar 24 2021,8:00p,Charlotte Hornets,122,Houston Rockets,97,Box Score,,3163,2:09,Toyota Center,
Wed Mar 24 2021,8:00p,Dallas Mavericks,128,Minnesota Timberwolves,108,Box Score,,0,2:08,Target Center,
Wed Mar 24 2021,8:00p,Memphis Grizzlies,116,Oklahoma City Thunder,107,Box Score,,0,1:55,Chesapeake Energy Arena,
Wed Mar 24 2021,8:00p,Phoenix Suns,111,Orlando Magic,112,Box Score,,3891,2:05,Amway Center,
Wed Mar 24 2021,8:30p,Los Angeles Clippers,134,San Antonio Spurs,101,Box Score,,3224,2:08,AT&T Center,
Wed Mar 24 2021,10:00p,Atlanta Hawks,108,Sacramento Kings,110,Box Score,,0,2:09,Golden 1 Center,
Wed Mar 24 2021,10:00p,Brooklyn Nets,88,Utah Jazz,118,Box Score,,5546,2:04,Vivint Smart Home Arena,
Thu Mar 25 2021,7:30p,Portland Trail Blazers,125,Miami Heat,122,Box Score,,0,2:18,AmericanAirlines Arena,
Thu Mar 25 2021,7:30p,Washington Wizards,102,New York Knicks,106,Box Score,,1817,2:21,Madison Square Garden (IV),
